year,group,median_wealth,source_note
2007,White,191159,"Pew Research Center 2017, middle-income households, 2016 dollars"
2007,Black,63396,"Pew Research Center 2017, middle-income households, 2016 dollars"
2007,Hispanic,86444,"Pew Research Center 2017, middle-income households, 2016 dollars"
2013,White,131900,"Pew Research Center 2017, middle-income households, 2016 dollars"
2013,Black,33600,"Pew Research Center 2017, middle-income households, 2016 dollars"
2013,Hispanic,38900,"Pew Research Center 2017, middle-income households, 2016 dollars"
2016,White,154400,"Pew Research Center 2017, middle-income households, 2016 dollars"
2016,Black,38300,"Pew Research Center 2017, middle-income households, 2016 dollars"
2016,Hispanic,46000,"Pew Research Center 2017, middle-income households, 2016 dollars"
