period,f_target,T_target_yr,ratio_fft,ratio_welch208,ratio_welch104,p_id_fft,p_cl_fft
2 yr (midterm),0.5,2.0,4087.5601734339125,12.815480343338068,13.609774018647757,3594.1439447532566,0.8792883265945557
4 yr (presidential),0.25,4.0,0.15214081821059133,1.6221652295631288,7.296211508313223,290.78473558838164,1911.2867868626893
6 yr (Senate),0.16666666666666666,6.0,5.835652737830366,1.6221652295631288,7.296211508313223,642.0885076180166,110.02856689117151
8 yr (two-term),0.125,8.0,1.6221649789225776,2.812137374131193,7.296211508313223,1147.5103955541892,707.3943837182035
