axis,T_natural_yr,f_natural_cyc_yr,f_beat_cyc_yr,T_beat_yr,Z_normalized,phase_distance_relative,Q_factor,bandwidth_cyc_yr
race,3.59,0.2785515320334262,0.028551532033426197,35.024390243902424,0.10250000000000004,0.11420612813370483,2.187738616705984,0.12732395447351627
gender,6.18,0.16181229773462785,0.08818770226537215,11.339449541284406,0.5449999999999998,-0.35275080906148865,1.2708708145589778,0.1273239544735163
religion,8.52,0.11737089201877934,0.13262910798122066,7.539823008849558,1.13,-0.5305164319248826,0.9218288302786951,0.12732395447351627
