# processed: monthly GDELT GKG per-axis theme shares (fraction of total coverage)
# source_raw: Paper/data/raw/gdelt_per_axis_raw.csv
# source_upstream: GDELT 1.0 daily GKG, public file server
# sampling: single day per month (15th)
# coverage: 2013-04 through 2024-12
# transformations:
#   1. sort ascending by year_month
#   2. compute race_share = race_count / total_count (and analogues for each axis)
#   3. round to 6 decimal places
#   4. replace zero total_count with NaN to avoid division artifacts
# preprocessed_by: Paper/scripts/preprocess_spectral_data.py
year_month,race_share,gender_share,religion_share,sexuality_share,total_count
2021-12,0.39963,0.062607,0.07052,0.008682,111841
2022-01,0.396677,0.049823,0.070807,0.006098,65431
2022-02,0.418354,0.053503,0.063938,0.00703,104555
2022-03,0.459879,0.061742,0.060983,0.008681,110703
2022-04,0.419811,0.048903,0.090407,0.012004,83390
2022-05,0.495126,0.059388,0.118926,0.01157,53243
2022-06,0.427812,0.056689,0.067424,0.018533,102842
2022-07,0.408337,0.064436,0.072258,0.014445,96778
2022-08,0.410746,0.054234,0.080581,0.014456,83010
2022-09,0.416462,0.052965,0.074781,0.012473,102540
2022-10,0.444465,0.081351,0.081875,0.010798,53435
2022-11,0.414287,0.059784,0.053799,0.009916,96916
2022-12,0.420229,0.052701,0.054902,0.010987,95843
2023-01,0.457104,0.05451,0.093889,0.008941,46193
2023-02,0.438839,0.05827,0.068041,0.024066,95281
2023-03,0.418144,0.064648,0.064029,0.01441,96878
2023-04,0.460003,0.055181,0.090013,0.015647,84232
2023-05,0.436267,0.051418,0.073823,0.012417,137072
2023-06,0.420922,0.071162,0.062388,0.019828,145654
2023-07,0.423007,0.067352,0.070683,0.015438,78053
2023-08,0.411577,0.052025,0.060114,0.011856,133263
2023-09,0.443863,0.048921,0.064679,0.011586,134217
2023-10,0.472146,0.069324,0.11715,0.018433,70798
2023-11,0.434241,0.056991,0.077659,0.01155,134460
2023-12,0.425244,0.05339,0.074385,0.012255,124030
2024-01,0.423554,0.054972,0.080645,0.008117,99796
2024-02,0.405735,0.056858,0.067251,0.009957,132875
2024-03,0.416201,0.057843,0.074248,0.011882,128260
2024-04,0.416741,0.081353,0.094375,0.010697,109658
2024-05,0.417819,0.057202,0.062407,0.010247,128527
2024-06,0.41636,0.061594,0.085427,0.011373,73595
2024-07,0.407342,0.046871,0.052533,0.007601,108275
2024-08,0.409458,0.064198,0.064716,0.016417,117807
2024-09,0.417505,0.060054,0.066763,0.007478,59913
2024-10,0.400088,0.060408,0.063353,0.008834,118179
2024-11,0.410558,0.062511,0.062685,0.009381,115019
2024-12,0.420575,0.063114,0.094443,0.010564,54901
