# processed: SCOTUS case-level judicial semantic scores
# source_upstream: Paper/data/scotus_judicial_semantics.csv
# orientation: higher latent_semantic_axis_z = historical/kinetic language pole
# generated_by: Paper/scripts/scotus_judicial_semantics.py
case_name,year,slug,cluster,tier,opinion_unit,word_count,structural_context_count,structural_context_per_1k,structural_context_score,formalist_procedure_count,formalist_procedure_per_1k,formalist_procedure_score,intent_doctrine_count,intent_doctrine_per_1k,intent_doctrine_score,historical_tradition_count,historical_tradition_per_1k,historical_tradition_score,kinetic_rights_count,kinetic_rights_per_1k,kinetic_rights_score,remedy_narrowing_count,remedy_narrowing_per_1k,remedy_narrowing_score,semantic_formalism_index,hardware_due_diligence_index,double_agent_basket_delta,latent_semantic_axis_z,basket_anchor_delta_z
Regents of University of California v. Bakke,1978,regents_of_university_of_california_v_bakke_1978,affirmative_action,baseline,full_case,592282,2186,3.6908,3.6908,2490,4.2041,4.2041,1105,1.8657,1.8657,611,1.0316,1.0316,56,0.0945,0.0945,1066,1.7998,1.7998,4.1788,1.1261,-3.0527,0.3863,-0.3889
Personnel Administrator of Massachusetts v. Feeney,1979,personnel_administrator_of_massachusetts_v_feeney_1979,intent_doctrine,3,full_case,38684,94,2.4299,2.4299,397,10.2626,10.2626,128,3.3089,3.3089,24,0.6204,0.6204,0,0.0,0.0,66,1.7061,1.7061,12.8477,0.6204,-12.2273,-0.0507,-2.0508
Mobile v. Bolden,1980,mobile_v_bolden_1980,voting_rights,3,full_case,179602,303,1.6871,1.6871,374,2.0824,2.0824,569,3.1681,3.1681,104,0.5791,0.5791,24,0.1336,0.1336,173,0.9632,0.9632,4.5266,0.7127,-3.8139,-1.6023,-0.4298
Richmond Newspapers v. Virginia,1980,richmond_newspapers_v_virginia_1980,first_amendment,1,full_case,17782,15,0.8435,0.8435,31,1.7433,1.7433,11,0.6186,0.6186,30,1.6871,1.6871,1,0.0562,0.0562,14,0.7873,0.7873,2.3057,1.7433,-0.5624,0.3029,0.2956
Tennessee v. Garner,1985,tennessee_v_garner_1985,carceral_enforcement,3,full_case,8249,1,0.1212,0.1212,7,0.8486,0.8486,1,0.1212,0.1212,30,3.6368,3.6368,20,2.4245,2.4245,6,0.7274,0.7274,1.576,6.0613,4.4853,1.4323,0.8195
Batson v. Kentucky,1986,batson_v_kentucky_1986,jury_selection,baseline,full_case,56199,199,3.541,3.541,264,4.6976,4.6976,93,1.6548,1.6548,96,1.7082,1.7082,1,0.0178,0.0178,91,1.6192,1.6192,4.4306,1.726,-2.7046,0.0994,-0.341
McCleskey v. Kemp,1987,mccleskey_v_kemp_1987,carceral_enforcement,baseline,full_case,228639,927,4.0544,4.0544,756,3.3065,3.3065,790,3.4552,3.4552,96,0.4199,0.4199,75,0.328,0.328,155,0.6779,0.6779,3.3852,0.7479,-2.6373,0.4685,-0.345
City of Richmond v. J.A. Croson Co.,1989,city_of_richmond_v_j_a_croson_co_1989,affirmative_action,3,full_case,25098,57,2.2711,2.2711,107,4.2633,4.2633,23,0.9164,0.9164,12,0.4781,0.4781,0,0.0,0.0,78,3.1078,3.1078,6.0164,0.4781,-5.5383,-0.4583,-0.7315
DeShaney v. Winnebago County,1989,deshaney_v_winnebago_county_1989,carceral_enforcement,1,full_case,103728,43,0.4145,0.4145,147,1.4172,1.4172,68,0.6556,0.6556,73,0.7038,0.7038,13,0.1253,0.1253,201,1.9378,1.9378,3.5961,0.8291,-2.767,0.4075,-0.0823
Graham v. Connor,1989,graham_v_connor_1989,carceral_enforcement,3,full_case,11966,8,0.6686,0.6686,16,1.3371,1.3371,7,0.585,0.585,6,0.5014,0.5014,7,0.585,0.585,10,0.8357,0.8357,2.0892,1.0864,-1.0028,0.5597,0.2532
Harmelin v. Michigan,1991,harmelin_v_michigan_1991,carceral_enforcement,baseline,full_case,78057,68,0.8712,0.8712,113,1.4477,1.4477,62,0.7943,0.7943,70,0.8968,0.8968,173,2.2163,2.2163,33,0.4228,0.4228,1.7936,3.1131,1.3195,0.7604,0.4335
Adarand Constructors v. Pena,1995,adarand_constructors_v_pena_1995,affirmative_action,3,full_case,172863,451,2.609,2.609,1059,6.1262,6.1262,158,0.914,0.914,202,1.1686,1.1686,17,0.0983,0.0983,568,3.2858,3.2858,7.717,1.2669,-6.4501,-0.1939,-0.9969
Purkett v. Elem,1995,purkett_v_elem_1995,jury_selection,baseline,full_case,20657,15,0.7261,0.7261,140,6.7774,6.7774,56,2.7109,2.7109,3,0.1452,0.1452,13,0.6293,0.6293,18,0.8714,0.8714,9.6336,0.7745,-8.8591,0.431,-1.3045
United States v. Armstrong,1996,united_states_v_armstrong_1996,carceral_enforcement,baseline,full_case,156083,283,1.8131,1.8131,446,2.8575,2.8575,393,2.5179,2.5179,59,0.378,0.378,190,1.2173,1.2173,113,0.724,0.724,4.2863,1.5953,-2.691,0.3755,-0.3006
Whren v. United States,1996,whren_v_united_states_1996,carceral_enforcement,3,full_case,15414,11,0.7136,0.7136,27,1.7517,1.7517,25,1.6219,1.6219,2,0.1298,0.1298,2,0.1298,0.1298,4,0.2595,0.2595,2.9195,0.2596,-2.6599,0.7656,0.0054
Atwater v. City of Lago Vista,2001,atwater_v_city_of_lago_vista_2001,carceral_enforcement,baseline,full_case,123736,57,0.4607,0.4607,215,1.7376,1.7376,73,0.59,0.59,443,3.5802,3.5802,45,0.3637,0.3637,133,1.0749,1.0749,2.9418,3.9439,1.0021,1.0103,0.388
Gratz v. Bollinger,2003,gratz_v_bollinger_2003,affirmative_action,3,full_case,485514,1291,2.659,2.659,1875,3.8619,3.8619,329,0.6776,0.6776,531,1.0937,1.0937,24,0.0494,0.0494,1057,2.1771,2.1771,4.0576,1.1431,-2.9145,1.0459,-0.2589
Grutter v. Bollinger,2003,grutter_v_bollinger_2003,affirmative_action,baseline,full_case,761058,2274,2.9879,2.9879,2673,3.5122,3.5122,504,0.6622,0.6622,804,1.0564,1.0564,50,0.0657,0.0657,1406,1.8474,1.8474,3.0339,1.1221,-1.9118,1.0595,-0.0702
Roper v. Simmons,2005,roper_v_simmons_2005,carceral_enforcement,3,full_case,461,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4069,0.6737
Town of Castle Rock v. Gonzales,2005,town_of_castle_rock_v_gonzales_2005,carceral_enforcement,1,full_case,11870,2,0.1685,0.1685,30,2.5274,2.5274,16,1.3479,1.3479,22,1.8534,1.8534,1,0.0842,0.0842,10,0.8425,0.8425,4.5493,1.9376,-2.6117,1.0543,-0.1139
Hudson v. Michigan,2006,hudson_v_michigan_2006,carceral_enforcement,baseline,full_case,61743,168,2.721,2.721,60,0.9718,0.9718,98,1.5872,1.5872,48,0.7774,0.7774,54,0.8746,0.8746,217,3.5146,3.5146,3.3526,1.652,-1.7006,1.0637,-0.2529
Parents Involved v. Seattle,2007,parents_involved_v_seattle_2007,affirmative_action,baseline,full_case,540331,3055,5.6539,5.6539,2470,4.5713,4.5713,324,0.5996,0.5996,757,1.401,1.401,29,0.0537,0.0537,1124,2.0802,2.0802,1.5972,1.4547,-0.1425,0.7286,0.0858
Scott v. Harris,2007,scott_v_harris_2007,carceral_enforcement,3,full_case,6716,0,0.0,0.0,2,0.2978,0.2978,1,0.1489,0.1489,1,0.1489,0.1489,3,0.4467,0.4467,14,2.0846,2.0846,2.5313,0.5956,-1.9357,1.0006,0.119
Crawford v. Marion County Election Board,2008,crawford_v_marion_county_election_board_2008,voting_rights,baseline,full_case,355064,875,2.4643,2.4643,1909,5.3765,5.3765,399,1.1237,1.1237,258,0.7266,0.7266,25,0.0704,0.0704,301,0.8477,0.8477,4.8836,0.797,-4.0866,-1.5532,-0.3889
District of Columbia v. Heller,2008,district_of_columbia_v_heller_2008,second_amendment,baseline,full_case,605259,403,0.6658,0.6658,1019,1.6836,1.6836,686,1.1334,1.1334,2365,3.9074,3.9074,21127,34.9057,34.9057,404,0.6675,0.6675,2.8187,38.8131,35.9944,0.581,2.247
Citizens United v. FEC,2010,citizens_united_v_fec_2010,campaign_finance,baseline,full_case,351455,205,0.5833,0.5833,672,1.9121,1.9121,348,0.9902,0.9902,316,0.8991,0.8991,70,0.1992,0.1992,445,1.2662,1.2662,3.5852,1.0983,-2.4869,-0.8317,-0.048
Graham v. Florida,2010,graham_v_florida_2010,carceral_enforcement,3,full_case,19080,29,1.5199,1.5199,31,1.6247,1.6247,6,0.3145,0.3145,19,0.9958,0.9958,7,0.3669,0.3669,28,1.4675,1.4675,1.8868,1.3627,-0.5241,0.8114,0.2669
McDonald v. City of Chicago,2010,mcdonald_v_city_of_chicago_2010,second_amendment,baseline,full_case,443526,254,0.5727,0.5727,707,1.594,1.594,434,0.9785,0.9785,2047,4.6153,4.6153,12094,27.2678,27.2678,285,0.6426,0.6426,2.6424,31.8831,29.2407,0.5717,1.9622
Miller v. Alabama,2012,miller_v_alabama_2012,carceral_enforcement,3,full_case,14294,4,0.2798,0.2798,19,1.3292,1.3292,15,1.0494,1.0494,15,1.0494,1.0494,4,0.2798,0.2798,8,0.5597,0.5597,2.6585,1.3292,-1.3293,0.8234,0.1931
NFIB v. Sebelius,2012,nfib_v_sebelius_2012,commerce_clause,baseline,full_case,124131,152,1.2245,1.2245,793,6.3884,6.3884,129,1.0392,1.0392,145,1.1681,1.1681,25,0.2014,0.2014,200,1.6112,1.6112,7.8143,1.3695,-6.4448,0.0239,-0.8533
Shelby County v. Holder,2013,shelby_county_v_holder_2013,voting_rights,baseline,full_case,541853,1283,2.3678,2.3678,1744,3.2186,3.2186,1487,2.7443,2.7443,1507,2.7812,2.7812,67,0.1236,0.1236,1260,2.3254,2.3254,5.9205,2.9048,-3.0157,-1.6874,-0.552
McCutcheon v. FEC,2014,mccutcheon_v_fec_2014,campaign_finance,baseline,full_case,191761,123,0.6414,0.6414,509,2.6543,2.6543,85,0.4433,0.4433,154,0.8031,0.8031,29,0.1512,0.1512,209,1.0899,1.0899,3.5461,0.9543,-2.5918,-1.1634,-0.0118
Schuette v. Coalition to Defend Affirmative Action,2014,schuette_v_coalition_to_defend_affirmative_action_2014,affirmative_action,3,full_case,379917,895,2.3558,2.3558,2117,5.5723,5.5723,451,1.1871,1.1871,382,1.0055,1.0055,23,0.0605,0.0605,485,1.2766,1.2766,5.6802,1.066,-4.6142,0.319,-0.531
Obergefell v. Hodges,2015,obergefell_v_hodges_2015,buffer_class_expansion,2,full_case,23134,17,0.7348,0.7348,56,2.4207,2.4207,9,0.389,0.389,109,4.7117,4.7117,2,0.0865,0.0865,10,0.4323,0.4323,2.5072,4.7982,2.291,0.3939,0.6015
Rodriguez v. United States,2015,rodriguez_v_united_states_2015,carceral_enforcement,3,full_case,6259,1,0.1598,0.1598,6,0.9586,0.9586,7,1.1184,1.1184,2,0.3195,0.3195,0,0.0,0.0,2,0.3195,0.3195,2.2367,0.3195,-1.9172,1.1818,0.1985
Caetano v. Massachusetts,2016,caetano_v_massachusetts_2016,second_amendment,baseline,full_case,20671,10,0.4838,0.4838,40,1.9351,1.9351,27,1.3062,1.3062,72,3.4831,3.4831,918,44.41,44.41,17,0.8224,0.8224,3.5799,47.8931,44.3132,0.9927,2.5562
