period,f_target,T_target_yr,fft_bin,ratio_fft,ratio_welch20,ratio_welch12,p_id_fft,p_cl_fft,p_id_welch20,p_cl_welch20
"2 yr (midterm, Nyquist)",0.5,2.0,30.0,0.5775587277423742,1.1699846271824723,3.362687044201708,377.52940314631377,653.6640951164269,2135.8714790265562,1825.5551649170884
4 yr (presidential),0.25,4.0,15.0,24.061867375716844,0.18265074803265857,0.6914217416997007,15565.827047853722,646.9085214708939,13012.3933203155,71241.93829191895
6 yr (Senate),0.16666666666666666,6.0,10.0,21.02107287298238,4.098153254765936,2.096326881946605,189411.16886832943,9010.537664410684,300912.79570253217,73426.43795777683
8 yr (two-term),0.125,8.0,7.5,12.858634368466248,6.27888699328409,2.096326881946605,103219.5641206963,8027.257107008644,45089.21124320199,7181.083413577837
