race,gender,parent_quintile,child_quintile,source_file,source_row_key,source_column,source_value,raw_row_sum,fitted_probability,transformation
White,P,2,1,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q1_cond_par_q2,0.2088,1.0001,0.208779122088,divide by raw parent-row sum (rounding correction only)
White,P,2,2,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q2_cond_par_q2,0.2178,1.0001,0.217778222178,divide by raw parent-row sum (rounding correction only)
White,P,2,3,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q3_cond_par_q2,0.2197,1.0001,0.219678032197,divide by raw parent-row sum (rounding correction only)
White,P,2,4,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q4_cond_par_q2,0.2067,1.0001,0.206679332067,divide by raw parent-row sum (rounding correction only)
White,P,2,5,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q5_cond_par_q2,0.1471,1.0001,0.147085291471,divide by raw parent-row sum (rounding correction only)
White,P,3,1,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q1_cond_par_q3,0.1547,1.0001,0.154684531547,divide by raw parent-row sum (rounding correction only)
White,P,3,2,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q2_cond_par_q3,0.1821,1.0001,0.182081791821,divide by raw parent-row sum (rounding correction only)
White,P,3,3,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q3_cond_par_q3,0.2241,1.0001,0.224077592241,divide by raw parent-row sum (rounding correction only)
White,P,3,4,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q4_cond_par_q3,0.2445,1.0001,0.244475552445,divide by raw parent-row sum (rounding correction only)
White,P,3,5,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q5_cond_par_q3,0.1947,1.0001,0.194680531947,divide by raw parent-row sum (rounding correction only)
White,P,4,1,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q1_cond_par_q4,0.1139,1.0000,0.113900000000,divide by raw parent-row sum (rounding correction only)
White,P,4,2,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q2_cond_par_q4,0.1427,1.0000,0.142700000000,divide by raw parent-row sum (rounding correction only)
White,P,4,3,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q3_cond_par_q4,0.2083,1.0000,0.208300000000,divide by raw parent-row sum (rounding correction only)
White,P,4,4,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q4_cond_par_q4,0.2684,1.0000,0.268400000000,divide by raw parent-row sum (rounding correction only)
White,P,4,5,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q5_cond_par_q4,0.2667,1.0000,0.266700000000,divide by raw parent-row sum (rounding correction only)
White,P,5,1,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q1_cond_par_q5,0.0865,0.9999,0.086508650865,divide by raw parent-row sum (rounding correction only)
White,P,5,2,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q2_cond_par_q5,0.0981,0.9999,0.098109810981,divide by raw parent-row sum (rounding correction only)
White,P,5,3,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q3_cond_par_q5,0.1604,0.9999,0.160416041604,divide by raw parent-row sum (rounding correction only)
White,P,5,4,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q4_cond_par_q5,0.2438,0.9999,0.243824382438,divide by raw parent-row sum (rounding correction only)
White,P,5,5,data/raw/oi_table_2.csv,kid_race=White;gender=P,kfr_q5_cond_par_q5,0.4111,0.9999,0.411141114111,divide by raw parent-row sum (rounding correction only)
