state,state_fips,fa_homicide_rate_2024,fa_homicide_count_2024,fa_homicide_rate_2020_2024_pooled,fa_homicide_count_2020_2024,fa_homicide_suppressed_years,fa_deaths_rate_2024,fa_deaths_count_2024,fa_deaths_rate_2020_2024_pooled,fa_deaths_count_2020_2024,fa_deaths_suppressed_years,giffords_grade,giffords_law_strength_rank,everytown_law_rank,everytown_gun_death_rank,poverty_rate_saipe_2024,poverty_rate_saipe_2020_2024_mean,median_hh_income_saipe_2024,median_hh_income_acs2024_5yr,gini_acs2024_5yr,source_firearm,source_law_rankings,source_poverty_income_gini,access_date
Georgia,13,7.4,815,8.52,4660,,18.0,1985,18.86,10315,,F,40,44,14,12.8,13.52,79912,77353.0,0.4771,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Hawaii,15,1.4,20,1.34,97,,3.9,56,4.37,316,,A,7,6,50,10.0,10.0,101581,100389.0,0.4507,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Idaho,16,1.3,26,1.56,151,,16.8,331,17.11,1655,,F,46,50,20,10.4,10.38,80852,77800.0,0.4443,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Illinois,17,6.9,872,8.48,5384,,12.5,1563,13.85,8792,,A,6,2,30,11.5,11.62,83327,83390.0,0.4814,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Indiana,18,5.5,380,6.71,2297,,17.4,1196,17.73,6075,,D-,26,26,17,12.1,12.1,71958,71957.0,0.4523,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Iowa,19,2.1,67,2.19,352,,12.1,389,11.29,1812,,F,35,31,37,11.2,10.9,75623,75059.0,0.4439,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Kansas,20,4.2,123,4.71,694,,15.2,446,16.35,2410,,F,42,38,23,10.9,11.24,75402,74275.0,0.4571,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Kentucky,21,5.9,265,6.67,1513,,19.2,870,19.41,4400,,F,48,37,13,15.4,15.8,64481,63726.0,0.477,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Louisiana,22,12.3,562,15.57,3591,,22.5,1031,26.26,6055,,F,36,34,6,18.6,18.68,61038,60756.0,0.4952,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Maine,23,1.1,16,1.41,98,,13.0,181,12.84,891,,C+,21,21,35,10.6,10.76,76372,74733.0,0.456,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
