state,state_fips,fa_homicide_rate_2024,fa_homicide_count_2024,fa_homicide_rate_2020_2024_pooled,fa_homicide_count_2020_2024,fa_homicide_suppressed_years,fa_deaths_rate_2024,fa_deaths_count_2024,fa_deaths_rate_2020_2024_pooled,fa_deaths_count_2020_2024,fa_deaths_suppressed_years,giffords_grade,giffords_law_strength_rank,everytown_law_rank,everytown_gun_death_rank,poverty_rate_saipe_2024,poverty_rate_saipe_2020_2024_mean,median_hh_income_saipe_2024,median_hh_income_acs2024_5yr,gini_acs2024_5yr,source_firearm,source_law_rankings,source_poverty_income_gini,access_date
New Jersey,34,1.8,164,2.42,1131,,4.2,393,4.73,2209,,A,2,7,48,9.2,9.64,104202,103556.0,0.4784,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
New Mexico,35,9.7,206,9.63,1021,,26.6,563,25.67,2721,,B-,20,16,2,15.8,16.9,67838,64059.0,0.4772,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
New York,36,1.8,362,2.51,2494,,4.6,896,5.05,5013,,A,4,4,47,14.0,13.8,85768,85974.0,0.5167,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
North Carolina,37,6.3,688,7.06,3790,,16.9,1835,16.79,9007,,C-,25,24,19,12.6,12.92,74055,72388.0,0.4774,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
North Dakota,38,1.4,11,2.09,82,,12.1,95,14.04,551,,F,32,35,31,10.8,10.62,80132,76657.0,0.4568,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Ohio,39,4.9,577,6.27,3701,,14.8,1745,15.27,9019,,F,30,30,24,12.6,13.02,72259,71389.0,0.4672,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Oklahoma,40,5.0,204,5.91,1191,,19.6,794,20.19,4067,,F,36,42,12,14.8,15.18,66124,65039.0,0.4671,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Oregon,41,2.8,120,3.12,664,,15.7,663,15.15,3222,,A-,11,12,25,11.7,11.8,84897,83011.0,0.463,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Pennsylvania,42,3.9,503,5.65,3679,,12.5,1624,13.87,9029,,B,16,18,33,11.6,11.64,77532,77971.0,0.4742,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Rhode Island,44,1.1,12,1.69,93,,5.0,55,4.86,268,,A-,12,13,46,12.0,11.46,83250,87796.0,0.461,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
South Carolina,45,7.8,417,9.25,2450,,19.8,1064,20.6,5455,,F,29,33,11,13.3,13.9,72507,69324.0,0.4755,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
South Dakota,46,3.2,29,2.6,118,,17.3,159,14.55,660,,F,43,48,15,10.5,11.56,77494,75081.0,0.4493,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Tennessee,47,8.1,578,9.11,3220,,20.3,1448,21.39,7557,,F,30,29,9,13.3,13.54,72007,69595.0,0.4761,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Texas,48,4.8,1450,5.74,8658,,14.4,4389,14.81,22357,,F,27,32,26,13.4,13.74,79723,78476.0,0.4782,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Utah,49,1.7,58,1.84,312,,13.3,454,13.37,2268,,F,28,36,27,8.4,8.34,96398,95166.0,0.4266,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Vermont,50,1.9,12,,39,2020;2021,11.7,76,12.42,402,,B-,18,17,41,9.3,9.8,82836,81203.0,0.4531,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Virginia,51,4.5,395,5.45,2371,,13.2,1153,14.08,6128,,B+,14,15,28,9.8,10.02,92116,93170.0,0.4715,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Washington,53,3.0,235,3.4,1330,,11.7,915,12.15,4750,,A-,9,9,39,10.0,9.94,99309,98141.0,0.4691,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
West Virginia,54,3.6,64,4.27,380,,15.9,281,17.44,1551,,F,32,27,22,16.2,16.52,60662,59608.0,0.4709,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Wisconsin,55,3.5,207,4.27,1263,,12.4,735,12.97,3837,,C,22,22,32,10.3,10.5,77557,77485.0,0.444,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Wyoming,56,1.9,11,2.16,63,,24.5,143,24.24,706,,F,50,46,5,10.0,10.28,76975,76176.0,0.4539,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
